date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Wa,10.05,-2.48,4.14
2019-09-15,2019,9,Wa,10.05,-2.48,4.37
2019-10-15,2019,10,Wa,10.05,-2.48,4.64
2019-11-15,2019,11,Wa,10.05,-2.48,4.69
2019-12-15,2019,12,Wa,10.05,-2.48,4.47
2020-01-15,2020,1,Wa,10.05,-2.48,4.46
2020-03-15,2020,3,Wa,10.05,-2.48,4.64
2020-04-15,2020,4,Wa,10.05,-2.48,3.93
2020-05-15,2020,5,Wa,10.05,-2.48,4.6
2020-08-15,2020,8,Wa,10.05,-2.48,3.85
2020-09-15,2020,9,Wa,10.05,-2.48,2.78
2020-12-15,2020,12,Wa,10.05,-2.48,6.15
2021-01-15,2021,1,Wa,10.05,-2.48,4.47
2021-02-15,2021,2,Wa,10.05,-2.48,3.03
2021-04-15,2021,4,Wa,10.05,-2.48,4.0
2021-06-15,2021,6,Wa,10.05,-2.48,6.07
2021-08-15,2021,8,Wa,10.05,-2.48,3.98
2021-09-15,2021,9,Wa,10.05,-2.48,3.77
2021-10-15,2021,10,Wa,10.05,-2.48,4.36
2021-11-15,2021,11,Wa,10.05,-2.48,4.53
2021-12-15,2021,12,Wa,10.05,-2.48,4.94
2022-01-15,2022,1,Wa,10.05,-2.48,5.52
2022-03-15,2022,3,Wa,10.05,-2.48,5.32
2022-04-15,2022,4,Wa,10.05,-2.48,5.32
2022-05-15,2022,5,Wa,10.05,-2.48,5.32
2022-06-15,2022,6,Wa,10.05,-2.48,5.32
2022-07-15,2022,7,Wa,10.05,-2.48,5.32
2022-09-15,2022,9,Wa,10.05,-2.48,4.26
2022-10-15,2022,10,Wa,10.05,-2.48,4.26
2022-10-15,2022,10,Wa,10.05,-2.48,4.95
2023-01-15,2023,1,Wa,10.05,-2.48,5.63
2023-01-15,2023,1,Wa,10.05,-2.48,4.35
2023-02-15,2023,2,Wa,10.05,-2.48,3.29
2023-02-15,2023,2,Wa,10.05,-2.48,9.96
2023-03-15,2023,3,Wa,10.05,-2.48,6.76
2023-03-15,2023,3,Wa,10.05,-2.48,5.25
2023-04-15,2023,4,Wa,10.05,-2.48,2.24
2023-04-15,2023,4,Wa,10.05,-2.48,13.93
2023-05-15,2023,5,Wa,10.05,-2.48,2.24
2023-05-15,2023,5,Wa,10.05,-2.48,13.93
2023-06-15,2023,6,Wa,10.05,-2.48,2.24
2023-06-15,2023,6,Wa,10.05,-2.48,13.93
2023-07-15,2023,7,Wa,10.05,-2.48,6.19
2023-07-15,2023,7,Wa,10.05,-2.48,13.93
